SonarQube issues for isep-frontend (total: 290)

By rule (count):
  typescript:S6759: 110
  typescript:S6853: 63
  typescript:S7781: 24
  typescript:S3358: 17
  typescript:S7773: 16
  typescript:S3776: 8
  typescript:S7764: 7
  typescript:S6479: 6
  typescript:S7735: 5
  typescript:S4325: 5
  typescript:S1854: 4
  typescript:S3863: 4
  typescript:S1135: 2
  typescript:S6822: 2
  typescript:S7721: 2
  typescript:S4158: 2
  typescript:S6353: 1
  typescript:S6772: 1
  typescript:S2137: 1
  typescript:S6767: 1
  typescript:S6478: 1
  typescript:S4624: 1
  typescript:S1128: 1
  typescript:S2004: 1
  typescript:S7776: 1
  typescript:S7763: 1
  typescript:S2486: 1
  typescript:S2737: 1
  typescript:S6606: 1

--- All issues (severity | rule | file | line | message) ---
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|122|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|134|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|145|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|158|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|172|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|184|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|194|A form label must be associated with a control.
MAJOR|typescript:S3358|src/app/meetings/[id]/agenda/AgendaItemForm.tsx|213|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S3863|src/app/meetings/[id]/agenda/[itemId]/AgendaItemTabs.tsx|10|'@/lib/mock/data' imported multiple times.
MINOR|typescript:S3863|src/app/meetings/[id]/agenda/[itemId]/AgendaItemTabs.tsx|11|'@/lib/mock/data' imported multiple times.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/AgendaItemTabs.tsx|42|Mark the props of the component as read-only.
MINOR|typescript:S4325|src/app/meetings/[id]/agenda/[itemId]/AgendaItemTabs.tsx|55|This assertion is unnecessary since it does not change the type of the expression.
MAJOR|typescript:S3358|src/app/meetings/[id]/agenda/[itemId]/AgendaItemTabs.tsx|145|Extract this nested ternary operation into an independent statement.
MAJOR|typescript:S3358|src/app/meetings/[id]/agenda/[itemId]/AgendaItemTabs.tsx|146|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/comments/page.tsx|30|Mark the props of the component as read-only.
MINOR|typescript:S4158|src/app/meetings/[id]/agenda/[itemId]/comments/page.tsx|62|Review this usage of "comments" as it can only be empty here.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/deliberations/DeliberationsClient.tsx|8|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/deliberations/page.tsx|30|Mark the props of the component as read-only.
MINOR|typescript:S4158|src/app/meetings/[id]/agenda/[itemId]/deliberations/page.tsx|64|Review this usage of "deliberations" as it can only be empty here.
MINOR|typescript:S6759|src/app/meetings/[id]/agenda/[itemId]/edit/page.tsx|45|Mark the props of the component as read-only.
